N,P,K,temperature,humidity,ph,rainfall,label
16.95,28.03,55.02,33.09,89.24,6.42,178.33,coconut
52.42,28.44,66.96,35.83,94.22,6.76,105.83,papaya
84.5,65.6,29.73,22.97,99.71,6.44,293.48,coffee
105.94,21.41,20.75,16.68,85.03,6.21,223.12,coffee
120.79,59.13,50.94,43.68,73.26,6.51,106.21,cotton
15.12,38.35,162.45,8.11,91.67,5.54,134.1,apple
133.14,56.88,26.35,28.79,80.04,7.52,76.45,cotton
20.41,61.48,41.19,32.72,79.85,5.78,73.6,blackgram
30.37,77.95,49.91,25.8,21.47,7.32,31.97,lentil
26.12,30.31,43.65,34.06,57.98,5.58,140.11,mango
98.32,85.78,74.68,28.66,99.17,6.94,124.76,banana
38.33,28.32,68.63,34.76,91.31,5.58,100.19,pomegranate
36.66,146.33,202.02,26.95,84.7,5.57,79.66,grapes
18.9,82.51,57.48,34.34,43.32,6.66,84.11,pigeonpeas
28.4,22.36,66.15,39.89,94.69,5.51,188.54,pomegranate
38.66,139.21,202.65,14.8,82.88,5.73,79.93,grapes
121.65,37.68,55.7,25.75,55.77,6.04,91.12,cotton
65.01,70.57,72.91,21.41,64.75,5.63,94.92,maize
111.72,48.94,52.34,27.1,88.57,6.17,296.59,coffee
17.76,24.48,57.24,29.59,93.62,5.93,295.28,coconut
111.44,16.77,44.34,35.99,91.53,6.95,48.57,muskmelon
115.44,62.38,30.53,23.12,81.45,6.42,176.18,coffee
68.65,42.08,62.82,36.1,82.21,6.84,205.55,jute
107.14,67.7,45.55,26.88,99.36,6.42,196.46,coffee
24.64,64.39,91.92,19.09,35.95,5.65,79.53,chickpea
24.21,90.22,76.41,37.28,49.74,6.6,68.43,pigeonpeas
29.13,74.6,21.25,22.47,31.92,6.38,42.31,lentil
84.17,64.5,70.45,28.2,84.91,6.97,150.82,jute
39.97,53.07,52.45,34.52,88.58,7.2,42.07,mungbean
95.94,48.19,30.28,21.52,89.95,5.51,174.12,rice
33.49,155.41,213.97,36.78,81.91,6.16,81.33,grapes
30.95,54.64,22.47,30.43,69.6,7.06,62.28,blackgram
20.26,73.41,79.57,28.44,44.22,5.44,79.28,pigeonpeas
21.0,13.17,42.56,25.94,79.58,7.06,132.93,mango
11.56,61.53,62.89,19.26,63.67,6.06,61.16,pigeonpeas
105.04,73.01,44.5,25.74,81.44,5.7,126.0,banana
26.15,65.84,66.59,30.97,51.71,6.0,95.03,pigeonpeas
12.79,83.53,89.24,22.85,15.69,6.37,82.46,chickpea
17.64,93.63,71.54,28.04,26.0,6.46,86.37,chickpea
31.31,72.57,88.85,27.32,32.7,6.04,99.77,kidneybeans
114.12,30.99,23.24,24.6,84.23,6.2,159.62,coffee
13.24,12.6,191.27,3.15,94.52,6.8,146.46,apple
118.48,90.36,58.11,29.18,98.97,5.71,157.98,banana
91.19,53.21,82.83,27.2,78.89,6.18,97.96,maize
11.42,78.84,40.37,24.47,21.03,6.37,67.68,lentil
61.33,52.36,71.91,20.26,67.03,6.88,108.04,maize
22.76,41.5,33.84,33.78,80.0,6.62,56.13,mungbean
19.33,38.61,71.34,32.52,92.59,5.78,197.85,pomegranate
16.42,19.51,39.55,29.93,94.5,5.48,257.47,coconut
88.89,71.6,79.23,29.8,66.28,6.0,80.74,maize
88.19,101.92,69.54,25.96,84.68,5.92,130.45,banana
114.38,44.74,58.88,32.23,94.18,6.74,30.61,muskmelon
17.36,11.5,28.87,19.13,94.56,7.17,175.54,orange
10.66,79.48,22.58,27.22,21.29,6.2,47.59,lentil
117.23,47.3,78.77,26.01,90.8,6.68,41.66,muskmelon
13.74,91.77,81.03,28.16,48.21,5.72,98.51,kidneybeans
31.9,46.39,42.36,28.43,33.71,4.32,39.64,mothbeans
100.44,58.65,30.5,39.88,65.17,7.64,66.53,cotton
97.7,11.84,61.76,29.42,84.73,6.42,136.88,watermelon
86.72,84.19,56.0,25.86,89.58,6.83,115.17,banana
45.1,13.72,63.57,35.64,91.33,6.9,192.74,papaya
18.62,27.77,51.91,19.22,90.01,5.67,179.23,pomegranate
14.32,13.14,38.46,36.73,54.24,5.76,160.78,mango
71.18,57.12,70.89,38.85,85.22,6.33,196.43,jute
98.72,69.32,41.27,22.85,81.09,6.42,247.23,coffee
16.63,41.56,31.08,23.15,88.67,6.48,77.52,mungbean
91.69,62.74,76.42,24.24,96.18,6.94,228.93,jute
63.21,45.74,42.31,34.74,81.68,6.1,295.42,rice
33.71,13.87,37.85,32.64,84.96,7.58,194.75,coconut
37.63,67.78,51.87,35.51,82.74,7.01,39.76,mungbean
28.76,29.73,46.01,28.24,92.42,5.76,255.46,coconut
24.99,21.63,64.52,19.23,92.53,6.98,121.35,pomegranate
14.61,90.58,71.72,29.3,54.05,6.78,90.67,pigeonpeas
80.01,19.65,48.33,28.01,88.06,5.92,69.15,watermelon
94.54,107.53,51.02,29.98,92.52,6.65,192.94,banana
93.1,66.16,33.47,27.86,93.41,6.23,242.01,coffee
104.51,33.42,61.9,34.25,82.59,5.63,61.93,watermelon
32.6,69.12,63.61,39.41,49.75,3.78,50.1,mothbeans
67.47,30.8,73.21,33.38,90.97,6.28,150.52,papaya
84.2,60.66,51.29,31.7,80.89,6.82,248.99,jute
100.1,32.45,53.51,25.15,94.72,6.77,53.56,muskmelon
28.46,72.25,94.96,20.54,25.08,5.7,95.46,chickpea
76.73,57.98,55.98,20.68,80.4,6.06,271.58,rice
24.23,50.65,32.4,33.46,74.87,5.18,75.81,blackgram
78.59,68.55,77.79,36.47,92.04,6.45,185.62,jute
1.55,16.34,190.63,3.32,91.17,6.18,151.71,apple
82.31,47.49,63.45,35.19,92.63,6.83,21.33,muskmelon
57.37,67.49,39.06,32.82,71.05,6.88,81.25,blackgram
114.78,77.23,77.91,28.28,83.16,6.63,139.38,banana
33.44,121.55,202.89,31.23,81.38,6.86,99.37,grapes
81.3,51.55,70.1,20.29,51.9,7.48,79.34,maize
